,sentences,chapter_count,narration_is_0_dialogue_is_1,sentence_length,all_pos_counts,parts_of_speech_total_count,POS_PRON_count,POS_VERB_count,POS_ADP_count,POS_DET_count,POS_ADJ_count,POS_NOUN_count,POS_CCONJ_count,POS_PUNCT_count,POS_SCONJ_count,POS_ADV_count,POS_AUX_count,POS_PROPN_count,POS_NUM_count,POS_PART_count,POS_INTJ_count,POS_X_count,POS_SPACE_count,%POS_PRON_count,%POS_VERB_count,%POS_ADP_count,%POS_DET_count,%POS_ADJ_count,%POS_NOUN_count,%POS_CCONJ_count,%POS_PUNCT_count,%POS_SCONJ_count,%POS_ADV_count,%POS_AUX_count,%POS_PROPN_count,%POS_NUM_count,%POS_PART_count,%POS_INTJ_count,%POS_X_count,%POS_SPACE_count
4664,The young man started at the sound of his cousin's fresh young voice.,chapter_29,0,13,"[['DET', 2], ['ADJ', 3], ['NOUN', 4], ['VERB', 1], ['ADP', 2], ['PRON', 1], ['PART', 1], ['PUNCT', 1]]",15,1.0,1.0,2.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.667,6.667,13.333,13.333,20.0,26.667,0.0,6.667,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0
4665,"""Good Heaven!""",chapter_29,1,2,"[['PUNCT', 3], ['PROPN', 2]]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
4666,"he thought ""can these two women be of the same clay?",chapter_29,0,11,"[['PRON', 1], ['VERB', 1], ['PUNCT', 2], ['AUX', 2], ['DET', 2], ['NUM', 1], ['NOUN', 2], ['ADP', 1], ['ADJ', 1]]",13,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.692,7.692,7.692,15.385,7.692,15.385,0.0,15.385,0.0,0.0,15.385,0.0,7.692,0.0,0.0,0.0,0.0
4667,"Can this frank generoushearted girl who cannot conceal any impulse of her innocent nature be of the same flesh and blood as that wretched creature whose shadow falls upon the path beside me!""",chapter_29,0,33,"[['AUX', 3], ['DET', 6], ['ADJ', 4], ['VERB', 3], ['NOUN', 8], ['PRON', 3], ['PART', 1], ['ADP', 4], ['CCONJ', 1], ['SCONJ', 1], ['PUNCT', 2]]",36,3.0,3.0,4.0,6.0,4.0,8.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333,8.333,11.111,16.667,11.111,22.222,2.778,5.556,2.778,0.0,8.333,0.0,0.0,2.778,0.0,0.0,0.0
4668,He looked from his cousin to Lady Audley who stood near the gateway waiting for him to stand aside and let her pass him.,chapter_29,0,24,"[['PRON', 6], ['VERB', 6], ['ADP', 3], ['NOUN', 2], ['PROPN', 2], ['DET', 1], ['SCONJ', 1], ['PART', 1], ['ADV', 1], ['CCONJ', 1], ['PUNCT', 1]]",25,6.0,6.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,24.0,24.0,12.0,4.0,0.0,8.0,4.0,4.0,4.0,4.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0
4669,"""I don't know what has come to your cousin my dear Alicia"" said my lady.",chapter_29,1,15,"[['PUNCT', 3], ['PRON', 5], ['AUX', 2], ['PART', 1], ['VERB', 3], ['ADP', 1], ['NOUN', 2], ['ADJ', 1], ['PROPN', 1]]",19,5.0,3.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,26.316,15.789,5.263,0.0,5.263,10.526,0.0,15.789,0.0,0.0,10.526,5.263,0.0,5.263,0.0,0.0,0.0
4670,"""He is so absentminded and eccentric as to be quite beyond my comprehension.""",chapter_29,1,13,"[['PUNCT', 3], ['PRON', 2], ['AUX', 2], ['ADV', 2], ['ADJ', 2], ['CCONJ', 1], ['SCONJ', 1], ['PART', 1], ['ADP', 1], ['NOUN', 1]]",16,2.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12.5,0.0,6.25,0.0,12.5,6.25,6.25,18.75,6.25,12.5,12.5,0.0,0.0,6.25,0.0,0.0,0.0
4671,"""Indeed"" exclaimed Miss Audley; ""and yet I should imagine from the length of your teteatete that you had made some effort to understand him.""",chapter_29,1,24,"[['PUNCT', 6], ['ADV', 2], ['VERB', 4], ['PROPN', 2], ['CCONJ', 1], ['PRON', 5], ['AUX', 2], ['ADP', 2], ['DET', 2], ['NOUN', 3], ['PART', 1]]",30,5.0,4.0,2.0,2.0,0.0,3.0,1.0,6.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,16.667,13.333,6.667,6.667,0.0,10.0,3.333,20.0,0.0,6.667,6.667,6.667,0.0,3.333,0.0,0.0,0.0
4672,"""Oh yes"" said Robert quietly ""my lady and I understand each other very well; but as it is growing late I will wish you goodevening ladies.",chapter_29,1,26,"[['PUNCT', 5], ['INTJ', 2], ['VERB', 5], ['PROPN', 1], ['ADV', 4], ['PRON', 5], ['NOUN', 2], ['CCONJ', 2], ['DET', 1], ['ADJ', 1], ['SCONJ', 1], ['AUX', 2]]",31,5.0,5.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,16.129,16.129,0.0,3.226,3.226,6.452,6.452,16.129,3.226,12.903,6.452,3.226,0.0,0.0,6.452,0.0,0.0
4673,"I shall sleep tonight at Mount Stanning as I have some business to attend to up there and I will come down and see my uncle tomorrow.""",chapter_29,1,27,"[['PRON', 4], ['AUX', 2], ['VERB', 5], ['NOUN', 4], ['ADP', 3], ['PROPN', 2], ['SCONJ', 1], ['DET', 1], ['PART', 1], ['ADV', 2], ['CCONJ', 2], ['PUNCT', 2]]",29,4.0,5.0,3.0,1.0,0.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,13.793,17.241,10.345,3.448,0.0,13.793,6.897,6.897,3.448,6.897,6.897,6.897,0.0,3.448,0.0,0.0,0.0
